year,occurences
"1989","406293"
"1991","424589"
"1993","424599"
"1992","425510"
"1994","426490"
"1988","431299"
"1990","437395"
"1995","439423"
"1996","443311"
"1998","446427"
"2002","448333"
"1997","450737"
"1999","460467"
"2000","471100"
"2016","487637"
"2014","502617"
"2015","503897"
"2012","526933"
"2011","528588"
"2003","536496"
"2010","551687"
"2013","552141"
"2009","557594"
"2004","588792"
"2006","598315"
"2008","608665"
"2005","609195"
"2007","629280"
