year,airport,avg_departure_delay
"2006","Los Angeles, CA: Los Angeles International","10.20"
"2007","Los Angeles, CA: Los Angeles International","10.54"
"2008","Los Angeles, CA: Los Angeles International","12.07"
"2009","Los Angeles, CA: Los Angeles International","8.59"
"2010","Los Angeles, CA: Los Angeles International","9.56"
"2011","Los Angeles, CA: Los Angeles International","10.07"
