year,airport,avg_departure_delay
"2006","Atlanta, GA: Hartsfield-Jackson Atlanta International","15.45"
"2007","Atlanta, GA: Hartsfield-Jackson Atlanta International","15.36"
"2008","Atlanta, GA: Hartsfield-Jackson Atlanta International","15.03"
"2009","Atlanta, GA: Hartsfield-Jackson Atlanta International","13.02"
"2010","Atlanta, GA: Hartsfield-Jackson Atlanta International","12.35"
"2011","Atlanta, GA: Hartsfield-Jackson Atlanta International","11.94"
