year,airport,avg_departure_delay
"2006","Chicago, IL: Chicago O'Hare International","19.37"
"2007","Chicago, IL: Chicago O'Hare International","20.01"
"2008","Chicago, IL: Chicago O'Hare International","21.64"
"2009","Chicago, IL: Chicago O'Hare International","12.62"
"2010","Chicago, IL: Chicago O'Hare International","12.70"
"2011","Chicago, IL: Chicago O'Hare International","15.04"
