dest_airport,max_arr_delay
"Monroe, LA: Monroe Regional","556.0"
"Charleston, SC: Charleston AFB","552.0"
"El Paso, TX: El Paso Internati","548.0"
"New Haven, CT: Tweed New Haven","523.0"
"Harlingen/San Benito, TX: Vall","512.0"
"Kona, HI: Kona International A","508.0"
"Daytona Beach, FL: Daytona Bea","505.0"
"Wichita, KS: Wichita Dwight D ","501.0"
"Richmond, VA: Richmond Interna","500.0"
"Minot, ND: Minot International","500.0"
"Grand Forks, ND: Grand Forks I","493.0"
"Melbourne, FL: Melbourne Inter","493.0"
"Manchester, NH: Manchester-Bos","490.0"
"Fairbanks, AK: Fairbanks Inter","490.0"
"Tallahassee, FL: Tallahassee I","488.0"
"Gainesville, FL: Gainesville R","486.0"
"Worcester, MA: Worcester Regio","485.0"
"Traverse City, MI: Cherry Capi","483.0"
"Dallas, TX: Dallas Love Field","477.0"
"Louisville, KY: Louisville Int","475.0"
"South Bend, IN: South Bend Int","475.0"
"Bristol/Johnson City/Kingsport","472.0"
"Fresno, CA: Fresno Yosemite In","467.0"
"Montgomery, AL: Montgomery Reg","464.0"
"Shreveport, LA: Shreveport Reg","464.0"
"Mobile, AL: Mobile Regional","456.0"
"Deadhorse, AK: Deadhorse Airpo","455.0"
"Cordova, AK: Merle K Mudhole S","454.0"
"Barrow, AK: Wiley Post/Will Ro","453.0"
"Duluth, MN: Duluth Internation","451.0"
"Grand Junction, CO: Grand Junc","451.0"
"Aguadilla, PR: Rafael Hernande","447.0"
"Wrangell, AK: Wrangell Airport","444.0"
"Lincoln, NE: Lincoln Airport","439.0"
"Bangor, ME: Bangor Internation","427.0"
"Lexington, KY: Blue Grass","424.0"
"Petersburg, AK: Petersburg Jam","416.0"
"Saipan, TT: Francisco C. Ada S","416.0"
"Saginaw/Bay City/Midland, MI: ","412.0"
"Portland, ME: Portland Interna","408.0"
"Savannah, GA: Savannah/Hilton ","395.0"
"Burbank, CA: Bob Hope","392.0"
"Mission/McAllen/Edinburg, TX: ","391.0"
"Columbia, SC: Columbia Metropo","387.0"
"Green Bay, WI: Green Bay Austi","387.0"
"Kodiak, AK: Kodiak Airport","384.0"
"Burlington, VT: Burlington Int","382.0"
"Knoxville, TN: McGhee Tyson","374.0"
"Moline, IL: Quad City Internat","369.0"
"Helena, MT: Helena Regional","364.0"
"Evansville, IN: Evansville Reg","363.0"
"Idaho Falls, ID: Idaho Falls R","358.0"
"Fayetteville, NC: Fayetteville","356.0"
"Medford, OR: Rogue Valley Inte","356.0"
"Bethel, AK: Bethel Airport","340.0"
"Toledo, OH: Toledo Express","337.0"
"Bakersfield, CA: Meadows Field","336.0"
"Rota, TT: Benjamin Taisacan Ma","328.0"
"Cedar Rapids/Iowa City, IA: Th","321.0"
"Wilmington, NC: Wilmington Int","321.0"
"Augusta, GA: Augusta Regional ","320.0"
"Lihue, HI: Lihue Airport","320.0"
"Concord, CA: Buchanan Field","320.0"
"Dillingham, AK: Dillingham Air","320.0"
"Fort Wayne, IN: Fort Wayne Int","320.0"
"Chattanooga, TN: Lovell Field","316.0"
"Detroit, MI: Coleman A. Young ","314.0"
"Scranton/Wilkes-Barre, PA: Wil","313.0"
"Myrtle Beach, SC: Myrtle Beach","313.0"
"Springfield, MO: Springfield-B","311.0"
"Peoria, IL: General Downing - ","310.0"
"Durango, CO: Durango La Plata ","307.0"
"Roanoke, VA: Roanoke Blacksbur","306.0"
"Binghamton, NY: Greater Bingha","304.0"
"Asheville, NC: Asheville Regio","303.0"
"Pasco/Kennewick/Richland, WA: ","296.0"
"Erie, PA: Erie International/T","296.0"
"Akron, OH: Akron-Canton Region","291.0"
"La Crosse, WI: La Crosse Regio","289.0"
"Casper, WY: Casper/Natrona Cou","289.0"
"King Salmon, AK: King Salmon A","283.0"
"Bellingham, WA: Bellingham Int","278.0"
"Butte, MT: Bert Mooney","276.0"
"Monterey, CA: Monterey Regiona","275.0"
"Gustavus, AK: Gustavus Airport","267.0"
"Unalaska, AK: Unalaska Airport","265.0"
"Gulfport/Biloxi, MS: Gulfport-","257.0"
